"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0008544","epidermis development","60/657","355/18800",1.34674590944976e-24,5.63613163104723e-21,5.02123580133794e-21,"DKK4/KRT6A/KRT5/KRT16/KRT14/GRHL2/SPRR2D/FGFR2/KRT31/ESRP1/ETV4/OVOL2/IRF6/SPRR3/MSX2/DSP/SPRR1B/SPRR1A/KRT7/SOX9/GRHL1/KRT10/KRT17/ST14/LAMC2/EXPH5/KRT81/EVPL/SLC44A4/KLK7/EDAR/CRABP2/AKR1C3/LGR5/KRT80/SULT2B1/ABCA12/ZNF750/SCEL/IVL/KRT6B/PPL/KRT75/SPRR2E/KRT6C/PLS1/OVOL1/SPINK5/SFN/PAX6/EZH2/KRT15/DKK1/FZD6/TCHH/GRHL3/FLG/DSG4/COL17A1/FOXQ1",60
"BP","GO:0043588","skin development","52/657","296/18800",3.10949021832517e-22,6.50660828184541e-19,5.79674439647776e-19,"DKK4/KRT6A/KRT5/KRT16/GRHL2/SPRR2D/FGFR2/ETV4/OVOL2/IRF6/SPRR3/MSX2/DSP/SPRR1B/SPRR1A/KRT7/SOX9/GRHL1/KRT10/KRT17/ST14/CLDN4/EXPH5/KRT81/EVPL/EDAR/AKR1C3/DACT2/LGR5/KRT80/ABCA12/SCEL/IVL/KRT6B/PPL/FRAS1/KRT75/TRAF3IP2/SPRR2E/ITGB4/KRT6C/OVOL1/SPINK5/SFN/PAX6/DKK1/FZD6/TCHH/GRHL3/FLG/DSG4/FOXQ1",52
"BP","GO:0009913","epidermal cell differentiation","43/657","230/18800",1.20358154794842e-19,1.67899625938805e-16,1.4958195939766e-16,"KRT6A/KRT5/KRT16/GRHL2/SPRR2D/ESRP1/ETV4/OVOL2/IRF6/SPRR3/MSX2/DSP/SPRR1B/SPRR1A/KRT7/GRHL1/KRT10/KRT17/ST14/EXPH5/KRT81/EVPL/SLC44A4/AKR1C3/KRT80/SULT2B1/ABCA12/SCEL/IVL/KRT6B/PPL/KRT75/SPRR2E/KRT6C/PLS1/OVOL1/SPINK5/SFN/PAX6/EZH2/TCHH/FLG/DSG4",43
"BP","GO:0030216","keratinocyte differentiation","36/657","167/18800",9.25639404866339e-19,9.68450227341407e-16,8.62793361062256e-16,"KRT6A/KRT5/KRT16/GRHL2/SPRR2D/ETV4/OVOL2/IRF6/SPRR3/MSX2/DSP/SPRR1B/SPRR1A/KRT7/GRHL1/KRT10/KRT17/ST14/EXPH5/KRT81/EVPL/AKR1C3/KRT80/ABCA12/SCEL/IVL/KRT6B/PPL/KRT75/SPRR2E/KRT6C/SFN/PAX6/TCHH/FLG/DSG4",36
"BP","GO:0048562","embryonic organ morphogenesis","43/657","294/18800",1.48863100168464e-15,1.24598414841004e-12,1.11004863325621e-12,"GRHL2/MSX1/TFAP2A/FGFR2/SIX1/ZIC1/OVOL2/MYO3B/DLX5/ATP6V1B1/PAX8/HOXB9/SOX9/DNAAF1/DLX6/HOXB5/HOXB6/HOXB8/EYA1/SOX17/SLC44A4/HOXB4/TBX20/BMP7/IHH/HMX3/STOX1/HOXA9/PLS1/HOXB7/GJB6/HNF1B/FGF8/GSC/PAX6/HPN/FOXN4/HOXB2/FZD6/FGF9/GRHL3/COL2A1/SIX4",43
"BP","GO:0048568","embryonic organ development","51/657","449/18800",1.14531132643648e-13,7.98854650189446e-11,7.11700476883863e-11,"GRHL2/MSX1/TFAP2A/FGFR2/SIX1/ZIC1/OVOL2/MYO3B/DLX5/ATP6V1B1/PAX8/HOXB9/SPINT1/SOX9/ST14/DNAAF1/DLX6/HOXB5/HOXB6/HOXB8/EYA1/SOX17/SLC44A4/HOXB4/TBX20/BMP7/IHH/SPINT2/HMX3/KRT19/COBL/STOX1/E2F7/CDX2/HOXA9/PLS1/HOXB7/GJB6/HNF1B/FGF8/GSC/PAX6/HPN/FOXN4/HOXB2/FZD6/FGF9/PIFO/GRHL3/COL2A1/SIX4",51
"BP","GO:0045104","intermediate filament cytoskeleton organization","22/657","88/18800",2.21622154651764e-13,1.32498388173947e-10,1.18042958161887e-10,"KRT6A/KRT5/KRT16/KRT14/KRT23/KRT31/KRT13/DSP/KRT7/KRT17/KRT81/EVPL/KRT19/KRT80/FAM83H/KRT6B/PPL/KRT18/KRT75/KRT6C/KRT15/TCHH",22
"BP","GO:0045103","intermediate filament-based process","22/657","89/18800",2.84882829283307e-13,1.4902933006883e-10,1.32770392279141e-10,"KRT6A/KRT5/KRT16/KRT14/KRT23/KRT31/KRT13/DSP/KRT7/KRT17/KRT81/EVPL/KRT19/KRT80/FAM83H/KRT6B/PPL/KRT18/KRT75/KRT6C/KRT15/TCHH",22
"BP","GO:0042471","ear morphogenesis","25/657","123/18800",8.13868394788859e-13,3.78448803576819e-10,3.3716045080025e-10,"MSX1/TFAP2A/FGFR2/SIX1/ZIC1/MYO3B/DLX5/ATP6V1B1/PAX8/SOX9/DLX6/EYA1/SLC44A4/HMX3/STOX1/PLS1/GJB6/FGF8/GSC/HPN/FZD6/FGF9/GRHL3/COL2A1/SIX4",25
"BP","GO:0031424","keratinization","21/657","85/18800",1.00330211067815e-12,4.19881933318808e-10,3.74073271160213e-10,"KRT6A/KRT5/KRT16/SPRR2D/SPRR3/SPRR1B/SPRR1A/KRT7/KRT17/KRT81/EVPL/KRT80/ABCA12/IVL/KRT6B/PPL/KRT75/SPRR2E/KRT6C/SFN/TCHH",21
